name,lat,lon,source
CFCMV,43.67827,-70.17182,faa-nasr
CFDWP,42.71536,-71.11856,faa-nasr
CFEKW,43.63517,-70.22073,faa-nasr
CFFBW,42.3544,-70.93739,faa-nasr
CFFCB,45.62795,-70.24159,faa-nasr
CFFCM,43.66261,-70.26664,faa-nasr
CFFCN,42.40714,-70.86406,faa-nasr
CFFCS,42.3726,-70.85956,faa-nasr
CFFFR,42.29223,-70.84751,faa-nasr
CFFGZ,41.76562,-71.32433,faa-nasr
CFFHB,41.81047,-71.41951,faa-nasr
CFFHC,41.67923,-71.55588,faa-nasr
CFLSR,42.25784,-71.70354,faa-nasr
CFLTA,41.86677,-71.27522,faa-nasr
CFMCB,41.562,-70.35485,faa-nasr
CFMDR,42.58793,-71.25963,faa-nasr
CFNZZ,44.99096,-70.65578,faa-nasr
CFQJR,43.60705,-70.17282,faa-nasr
CFTZC,41.59167,-71.28432,faa-nasr
CFVBT,45.62808,-70.24159,faa-nasr
CFVGQ,42.98621,-71.52778,faa-nasr
CFVKH,44.99334,-69.09817,faa-nasr
CFVWJ,42.84257,-71.44277,faa-nasr
CHELC,42.42452,-70.97623,faa-nasr
CHERN,42.82343,-71.60222,faa-nasr
CHERS,42.40514,-70.92988,faa-nasr
CHKST,42.39861,-71.69063,faa-nasr
CHOPY,41.5317,-70.45374,faa-nasr
CHRIT,44.97962,-67.47203,faa-nasr
CHWDA,43.95257,-70.3443,faa-nasr
CHWDH,42.30432,-70.72971,faa-nasr
CIBEV,44.63995,-67.44101,faa-nasr
CINBO,41.59702,-70.70451,faa-nasr
CIRIR,41.79173,-71.15151,faa-nasr
CIYEP,45.97463,-67.92105,faa-nasr
CLAMY,41.17778,-70.53527,faa-nasr
CLAVY,64.23333,-59.0,faa-nasr
CLAWW,42.39048,-70.81251,faa-nasr
CLBEE,44.47058,-69.58829,faa-nasr
CLETR,42.5051,-71.68086,faa-nasr
CLMPP,42.47993,-70.72644,faa-nasr
CLNNT,42.09889,-71.31953,faa-nasr
CLOWW,42.73153,-71.85458,faa-nasr
CNOLI,42.44846,-70.86556,faa-nasr
COBER,41.13397,-71.83905,faa-nasr
COFIE,41.85213,-71.41876,faa-nasr
COGDO,42.45577,-71.41744,faa-nasr
COHAS,42.24307,-70.8425,faa-nasr
COKBI,41.26596,-70.89799,faa-nasr
COLBB,44.41444,-69.96415,faa-nasr
COLLE,42.66094,-71.26856,faa-nasr
COLYN,42.15268,-71.04011,faa-nasr
CONEZ,41.53047,-71.3497,faa-nasr
COOEY,43.06114,-70.645,faa-nasr
COOKK,41.62879,-70.08892,faa-nasr
COPGU,43.68363,-71.55213,faa-nasr
COPLY,42.49784,-70.55794,faa-nasr
CORAC,46.37297,-67.93201,faa-nasr
CORNY,42.72855,-71.40039,faa-nasr
CORRT,42.44593,-70.75978,faa-nasr
COSAX,41.48919,-71.31134,faa-nasr
COSSY,41.53299,-70.95053,faa-nasr
COTAG,41.68812,-71.45652,faa-nasr
COTEE,42.49506,-71.11887,faa-nasr
COUSY,42.35498,-71.20881,faa-nasr
COVOD,41.6015,-70.38218,faa-nasr
CPCOD,40.93227,-71.62937,faa-nasr
CRACO,41.54425,-70.1935,faa-nasr
CRADL,42.01024,-70.76321,faa-nasr
CRAYG,41.18816,-70.15033,faa-nasr
CREPT,41.92905,-70.75739,faa-nasr
CRESY,44.37057,-71.46062,faa-nasr
CRLTN,42.33282,-70.85359,faa-nasr
CROCR,42.42756,-70.74002,faa-nasr
CROIX,46.2891,-68.26878,faa-nasr
CROWI,43.68576,-70.18222,faa-nasr
CRRAB,44.79958,-68.74794,faa-nasr
CSHNN,43.64774,-70.19669,faa-nasr
CSTAR,46.35616,-68.07516,faa-nasr
CTMAX,44.16775,-68.86841,faa-nasr
CUDDY,56.7,-57.0,faa-nasr
CUDIB,44.70244,-69.54624,faa-nasr
CUDVA,44.22565,-68.37878,faa-nasr
CUGDA,41.15943,-71.68301,faa-nasr
CUGOG,41.55663,-70.75713,faa-nasr
CUHSI,41.43632,-70.54193,faa-nasr
CUJKE,41.16306,-70.56357,faa-nasr
CUKEK,42.05339,-70.3106,faa-nasr
CULSU,42.11131,-70.15441,faa-nasr
CUMBR,43.805,-70.23436,faa-nasr
CUPEG,44.73226,-69.36311,faa-nasr
CUPNU,41.3163,-69.77664,faa-nasr
CUPUG,42.10858,-71.12395,faa-nasr
CURER,42.75624,-71.643,faa-nasr
CURLI,42.01529,-71.06509,faa-nasr
CUSKA,41.81043,-71.35374,faa-nasr
CUSOR,44.40159,-71.20918,faa-nasr
CUTAL,42.41668,-71.37502,faa-nasr
CUTIV,41.91474,-71.48849,faa-nasr
CUTLR,40.334,-68.70833,faa-nasr
CUTOX,40.88147,-71.78663,faa-nasr
CUTSI,41.62627,-71.50833,faa-nasr
CUTUX,41.22644,-71.70726,faa-nasr
CUVOT,44.72059,-68.70286,faa-nasr
CUXOV,43.0029,-71.35611,faa-nasr
CUYKI,44.27433,-69.76827,faa-nasr
CUZBU,45.42003,-68.56535,faa-nasr
CVLRY,44.45372,-69.73599,faa-nasr
CWALL,43.64523,-70.11278,faa-nasr
CYOTI,42.15662,-71.2571,faa-nasr
DAAME,41.56438,-71.26142,faa-nasr
DAANK,44.60969,-67.82832,faa-nasr
DABAC,44.09409,-70.53307,faa-nasr
DACBE,41.04805,-71.96103,faa-nasr
DAFTE,41.6402,-70.44898,faa-nasr
DALIA,42.7808,-71.71576,faa-nasr
DALLE,44.51626,-69.61671,faa-nasr
DALYB,43.71417,-70.60055,faa-nasr
DANOH,44.143,-70.22462,faa-nasr
DANOL,45.69709,-67.80332,faa-nasr
DAPOW,44.21302,-68.52283,faa-nasr
DAVAZ,51.88297,-5.43155,uk-aip
DBURR,44.18641,-69.80858,faa-nasr
DEBUS,46.58444,-71.44944,faa-nasr
DEDEC,43.68191,-71.15629,faa-nasr
DEDHM,42.19564,-70.94917,faa-nasr
DEEBA,45.24386,-69.37417,faa-nasr
DEELR,44.67587,-67.46238,faa-nasr
DEEPO,41.11499,-70.83607,faa-nasr
DEGEY,42.23212,-71.20214,faa-nasr
DEGOS,54.18922,-6.90636,uk-aip
DEJZU,45.32767,-67.76449,faa-nasr
DELGE,44.40008,-68.92772,faa-nasr
DELSS,41.48261,-71.78032,faa-nasr
DEMAW,43.45758,-70.70906,faa-nasr
DEMBE,41.67515,-70.50308,faa-nasr
DEPRI,45.9537,-70.25662,faa-nasr
DERDO,45.68028,-70.80333,faa-nasr
DESLO,42.39816,-71.50976,faa-nasr
DEVBI,60.71509,-8.76958,uk-aip
DEVOL,53.89028,-10.43417,ie-aip
DEWEE,42.25328,-71.61581,faa-nasr
DEXEN,53.28028,-5.5,uk-aip
DEXXY,43.3398,-70.61906,faa-nasr
DIGAN,52.93694,-8.1975,ie-aip
DIKEY,42.15481,-71.15318,faa-nasr
DIMLI,54.94652,-6.61521,uk-aip
DIMUS,52.23972,-6.25139,ie-aip
DINIM,51.0,-15.0,uk-aip
DIPEY,45.58244,-69.90656,faa-nasr
DIQSE,51.80013,-5.26466,uk-aip
DIRNE,44.61145,-68.13141,faa-nasr
DIRUM,53.00278,-6.66111,ie-aip
DITAC,43.57092,-70.16418,faa-nasr
DIWMU,41.46527,-70.41695,faa-nasr
DIXNN,42.57644,-71.04285,faa-nasr
DLPHN,41.16923,-70.39604,faa-nasr
DMMHK,42.95943,-71.35655,faa-nasr
DMYES,42.56182,-70.90924,faa-nasr
DODNE,41.9798,-71.16622,faa-nasr
DOGAL,54.0,-15.0,uk-aip
DOGDE,44.45072,-71.18023,faa-nasr
DOJEN,43.57831,-71.09867,faa-nasr
DOLIP,52.0,-12.0,ie-aip
DOLUR,49.48441,-5.05724,uk-aip
DONIB,55.71929,-7.69557,uk-aip
DONNN,41.79285,-70.0797,faa-nasr
DORPY,41.84418,-70.62019,faa-nasr
DORYY,56.03333,-57.0,faa-nasr
DOSAE,44.15536,-68.82837,faa-nasr
DOSAN,40.44211,-68.87497,faa-nasr
DOSUN,60.11736,-6.39403,uk-aip
DOTIE,45.65104,-68.70186,faa-nasr
DOVEY,41.11667,-67.0,faa-nasr
DREED,43.76188,-70.16482,faa-nasr
DREEM,42.36185,-71.74281,faa-nasr
DREMM,43.64556,-70.18071,faa-nasr
DRVER,45.36289,-69.27836,faa-nasr
DSPOT,45.59809,-68.67101,faa-nasr
DUBDE,44.11496,-68.80661,faa-nasr
DUBIN,42.91199,-71.99317,faa-nasr
DUBYU,42.39571,-71.34571,faa-nasr
DUCEB,43.91554,-68.9135,faa-nasr
DUCEC,44.68547,-69.51114,faa-nasr
DUCEG,41.82359,-70.46035,faa-nasr
DUFFE,44.75352,-68.63611,faa-nasr
DUFFY,54.51484,-5.86078,uk-aip
DUKDE,44.34938,-68.91902,faa-nasr
DULRE,41.83104,-70.96383,faa-nasr
DUMSE,45.25501,-69.35802,faa-nasr
DUNKK,42.08171,-70.65634,faa-nasr
DUNNS,44.41035,-69.86224,faa-nasr
DUNOM,44.90258,-66.97047,faa-nasr
DUPKE,41.11563,-69.87285,faa-nasr
DURIN,44.47831,-69.11359,faa-nasr
DUTCA,42.16776,-71.68416,faa-nasr
DUTUM,63.86667,-67.0,faa-nasr
DUVBI,56.0,-61.0,faa-nasr
EASTN,41.95918,-71.11099,faa-nasr
EBBIL,43.90897,-69.98992,faa-nasr
EBGIX,45.72574,-70.39748,faa-nasr
EBONY,44.90241,-67.15657,faa-nasr
EBROY,44.80407,-68.50305,faa-nasr
ECAVO,44.36773,-71.94224,faa-nasr
ECCIT,52.12997,-5.64548,uk-aip
ECIPE,43.81051,-71.82984,faa-nasr
EDEHO,41.3726,-70.58079,faa-nasr
EDEJU,44.07225,-69.51749,faa-nasr
EDGUE,47.14592,-68.61653,faa-nasr
EGAKE,41.78691,-71.78447,faa-nasr
EGGRL,42.48563,-70.72378,faa-nasr
EGORE,42.5464,-71.48625,faa-nasr
EHFAB,43.29725,-71.56439,faa-nasr
EHTUT,46.60049,-68.01571,faa-nasr
EHWOG,45.81417,-69.58536,faa-nasr
EIRRO,42.66168,-71.8719,faa-nasr
EJBEL,42.24865,-71.25781,faa-nasr
EJUDO,41.87492,-71.54453,faa-nasr
EKALE,44.1716,-68.4405,faa-nasr
EKAYO,41.79722,-70.76919,faa-nasr
EKICA,44.25518,-70.63516,faa-nasr
EKLAY,44.49871,-69.7018,faa-nasr
ELABE,44.47026,-71.17323,faa-nasr
ELBOB,54.73282,-7.74391,uk-aip
ELEEE,42.75568,-71.37346,faa-nasr
ELEMO,42.03118,-70.59573,faa-nasr
ELIRY,42.67418,-71.28605,faa-nasr
ELJUM,44.36125,-71.71829,faa-nasr
ELKOG,60.44656,-9.5,uk-aip
ELLAC,43.88383,-68.89925,faa-nasr
ELSEQ,44.81142,-71.30303,faa-nasr
ELSIR,49.5,-52.0,faa-nasr
ELSOX,51.0,-14.0,uk-aip
ELSUH,44.62744,-68.56916,faa-nasr
ELTIG,51.75361,-7.835,ie-aip
EMBDN,45.13989,-70.15419,faa-nasr
EMBOK,63.46667,-58.0,faa-nasr
EMESE,45.1071,-70.20841,faa-nasr
EMHOV,43.70013,-69.71521,faa-nasr
EMMEL,42.43314,-71.09698,faa-nasr
EMPER,49.0,-9.0,uk-aip
EMUSK,44.39904,-69.85422,faa-nasr
ENDEQ,53.44566,-5.5,uk-aip
ENJEX,52.05585,-6.04105,uk-aip
ENNSO,55.53333,-57.0,faa-nasr
ENOKU,53.10111,-7.66083,ie-aip
ENULA,53.9725,-8.26444,ie-aip
ENVUH,40.55911,-69.05636,faa-nasr
EPOKE,42.93999,-71.48652,faa-nasr
EPSOM,43.11932,-71.45125,faa-nasr
EPUNA,50.5,-14.0,uk-aip
ERABI,53.015,-9.5675,ie-aip
ERAKA,58.0,-10.0,uk-aip
ERIGY,42.62666,-71.45572,faa-nasr
ERIYO,44.31629,-68.91336,faa-nasr
ERNAN,54.27886,-7.39277,uk-aip
ERNEI,41.9448,-71.20852,faa-nasr
ERTER,51.56194,-8.06028,ie-aip
ERULY,44.44079,-68.21846,faa-nasr
ESALY,44.14399,-69.67424,faa-nasr
ESATE,41.89554,-71.09009,faa-nasr
ESICU,42.75055,-71.44678,faa-nasr
ESULE,41.8912,-71.51715,faa-nasr
ETARI,55.5,-15.0,uk-aip
ETDIN,45.53535,-68.63452,faa-nasr
ETHYN,42.32587,-70.55544,faa-nasr
ETILO,57.5,-10.0,uk-aip
ETSOM,57.89195,-9.5,uk-aip
ETSTO,43.98475,-70.93589,faa-nasr
ETTOR,44.80179,-69.38482,faa-nasr
ETWAS,43.85819,-69.24672,faa-nasr
ETZIB,41.55953,-70.5838,faa-nasr
EURRO,42.65074,-70.08793,faa-nasr
EUSTS,44.9299,-70.17384,faa-nasr
EVBAK,49.0,-10.0,ie-aip
EVBEV,57.786,-7.67812,uk-aip
